Unmyelinated_axonDiam,Unmyelinated_axonCount,Myelinated_fibreDiam,Myelinated_fibreDiamCount
0.1,0.0967741935483871,0.1,0
0.3,0.216589861751152,0.3,0
0.5,0.248847926267281,0.5,0
0.7,0.372503840245776,0.7,0
0.9,0.0506912442396313,0.9,0
1.1,0.0122887864823349,1.1,0.0252225519287834
1.3,0.00230414746543779,1.3,0.153115727002967
1.5,0,1.5,0.153115727002967
1.7,0,1.7,0.133827893175074
1.9,0,1.9,0.0637982195845698
2.1,0,2.1,0.101780415430267
2.3,0,2.3,0.0379821958456973
2.5,0,2.5,0.0958456973293769
2.7,0,2.7,0.0637982195845698
2.9,0,2.9,0.0513353115727003
3.1,0,3.1,0.0379821958456973
3.3,0,3.3,0.0252225519287834
3.5,0,3.5,0.00652818991097923
3.7,0,3.7,0
3.9,0,3.9,0
4.1,0,4.1,0.0124629080118694
4.3,0,4.3,0.00652818991097923
4.5,0,4.5,0.0124629080118694
4.7,0,4.7,0.0124629080118694
4.9,0,4.9,0.00652818991097923
