Area_Axon,Centroid_X,Centroid_Y,Perimeter_Axon,AxonDiameter_MinFeret,AxonDiameter_Circle,AxonDiameter_ShapeAdjustedEllipse
0.42,4.7,-27.4,2.44,0.6,0.731459,0.548597
0.51,5.9,-27.3,2.91,0.57,0.806028,0.516326
0.1,6.7,-27.6,1.26,0.23,0.356915,0.238261
0.7,5.3,-28,3.29,0.75,0.944309,0.644954
0.54,5.4,-29.8,2.72,0.69,0.829396,0.650505
0.46,4.1,-30.1,2.75,0.58,0.765498,0.494574
0.45,3.9,-30.6,2.83,0.54,0.757132,0.458426
0.61,4,-31.4,2.83,0.83,0.881516,0.741743
0.38,6,-29.8,2.49,0.56,0.695756,0.45253
0.26,6.8,-30.3,2.01,0.44,0.575509,0.391429
0.32,7.6,-30.7,2.3,0.45,0.63847,0.410638
0.43,7.4,-31.3,2.56,0.67,0.740115,0.51278
0.7,7.4,-32.1,3.76,0.62,0.944309,0.520962
0.89,6.8,-32.8,3.75,0.73,1.064781,0.712547
0.08,4.3,-32,1.12,0.26,0.319235,0.215676
0.51,4.6,-32.6,2.77,0.64,0.806028,0.565733
0.51,5.2,-33.2,2.74,0.67,0.806028,0.578837
0.35,5.9,-32.9,2.35,0.52,0.667727,0.447583
0.67,11,-31,3.92,0.56,0.923852,0.468154
0.67,13,-31.5,3.41,0.64,0.923852,0.570509
0.66,11.9,-31.8,3.55,0.68,0.916932,0.526471
0.36,10.7,-31.8,2.48,0.52,0.677199,0.423686
0.56,11.3,-32.2,3.18,0.55,0.844616,0.505631
0.91,8.1,-33.3,3.83,0.72,1.076678,0.707564
0.44,7.5,-33.9,3,0.47,0.748672,0.409503
0.68,6.4,-33.7,3.27,0.74,0.930721,0.62566
1.25,6.5,-34.8,4.55,0.94,1.261886,0.809876
0.68,7.1,-34.4,3.35,0.65,0.930721,0.599234
0.64,8.3,-34.9,3.09,0.72,0.902932,0.63923
0.77,9,-34.5,3.31,0.84,0.9904,0.739278
0.5,7.9,-35.4,2.94,0.56,0.798087,0.494467
0.78,9.3,-35.6,3.55,0.72,0.99681,0.653756
0.58,8.8,-36.2,3.36,0.58,0.859566,0.486765
0.6,9.5,-37,2.93,0.68,0.87426,0.6483
0.46,10.6,-36.3,2.91,0.67,0.765498,0.451655
0.99,7.6,-37.9,3.68,1,1.123008,0.882667
0.57,9.1,-38.4,2.86,0.74,0.852124,0.629718
1.1,8.3,-39.2,3.82,1.11,1.183754,0.976918
0.69,9.9,-38,3.2,0.76,0.93754,0.6674
0.61,10.9,-37.9,3.33,0.57,0.881516,0.525022
0.38,10.4,-36.9,2.4,0.51,0.695756,0.484712
0.96,8.8,-40.3,3.55,1.01,1.105862,0.930699
0.63,17.1,-36.3,3.42,0.58,0.89585,0.525138
0.66,23.2,-32,3.33,0.62,0.916932,0.581486
0.36,24.1,-32.7,2.66,0.41,0.677199,0.380952
1.01,23,-33.1,3.81,0.94,1.134295,0.836616
0.59,26.5,-33.1,3.13,0.67,0.866944,0.555291
0.3,26.8,-33.6,2.26,0.4,0.618195,0.387922
0.53,25.5,-33.5,3.37,0.5,0.821681,0.435417
0.26,24.5,-33.2,2.12,0.42,0.575509,0.356739
0.31,24.1,-33.6,2.04,0.57,0.628414,0.508416
0.43,25,-33.9,2.63,0.52,0.740115,0.48743
0.26,24.2,-34.2,2,0.4,0.575509,0.395201
0.71,25,-34.7,3.38,0.67,0.95103,0.626039
0.32,22,-30.7,2.39,0.49,0.63847,0.385774
0.46,21.2,-30.3,2.6,0.58,0.765498,0.550773
1.1,26.7,-29.8,4.83,0.68,1.183754,0.631485
0.39,27.1,-29.3,3.39,0.5,0.704851,0.306521
0.84,28.2,-30.2,4.4,0.59,1.034439,0.5225
0.42,25.8,-30.3,2.71,0.45,0.731459,0.449099
0.33,25.8,-30.7,2.3,0.44,0.648369,0.428399
0.24,24.8,-30.7,2.17,0.36,0.552931,0.31154
0.29,23.9,-30.6,2.29,0.37,0.607805,0.363623
0.54,20.1,-29,2.91,0.61,0.829396,0.559025
0.71,12.7,-43.1,3.28,0.75,0.95103,0.66262
1.05,11.9,-44,3.8,1.09,1.156538,0.902158
0.41,11.1,-43.6,2.44,0.66,0.722698,0.526931
0.47,12.2,-44.9,2.54,0.73,0.773774,0.605269
0.38,12.8,-44.3,2.37,0.56,0.695756,0.497509
0.25,13.4,-43.5,2.11,0.36,0.564333,0.341676
0.18,13.9,-43.1,1.61,0.41,0.478852,0.352668
0.55,13.9,-44,2.82,0.72,0.837041,0.613203
0.14,14.8,-43.6,1.42,0.37,0.422308,0.311054
0.36,14.6,-44.3,2.2,0.58,0.677199,0.546547
0.7,14.1,-45.3,3.08,0.81,0.944309,0.752578
0.59,13.3,-44.8,3.2,0.54,0.866944,0.535378
0.78,13.6,-46.2,3.69,0.67,0.99681,0.612678
0.09,13.1,-45.5,1.17,0.24,0.3386,0.235485
0.1,13.4,-45.2,1.25,0.29,0.356915,0.2418
0.14,12.7,-45.3,1.67,0.25,0.422308,0.235579
0.35,14.9,-46.1,2.42,0.48,0.667727,0.425042
0.34,16.1,-46.2,2.69,0.37,0.658119,0.350438
0.7,14.2,-46.9,3.8,0.72,0.944309,0.513397
0.67,14.8,-47.3,3.27,0.78,0.923852,0.612654
0.7,15.8,-47.4,3.28,0.83,0.944309,0.648767
0.19,16.5,-46.8,1.78,0.42,0.491974,0.314238
0.59,15.5,-46.7,3.07,0.71,0.866944,0.574457
0.66,17.2,-46.7,3.13,0.8,0.916932,0.652589
0.47,16.7,-47.7,2.5,0.69,0.773774,0.63596
0.46,17.3,-47.8,2.91,0.69,0.765498,0.451655
0.96,16.6,-48.6,3.65,1,1.105862,0.852011
0.97,18.4,-47.1,4.04,0.84,1.111606,0.703986
0.92,18.2,-48.6,3.8,0.8,1.082578,0.728945
0.5,17.6,-49.3,2.7,0.66,0.798087,0.579214
0.18,16.9,-49.6,1.55,0.4,0.478852,0.39124
0.28,17.3,-49.9,1.93,0.53,0.597234,0.490606
0.21,17.7,-50.1,1.77,0.41,0.517219,0.366401
0.22,18.4,-49.6,1.87,0.48,0.529391,0.352597
0.45,18.8,-50.1,2.49,0.68,0.757132,0.589186
0.23,18.2,-50.2,1.85,0.46,0.541289,0.38445
0.91,19.9,-49.6,3.62,0.78,1.076678,0.792339
0.64,20.7,-47.8,2.96,0.76,0.902932,0.708944
0.63,19.9,-47.1,3.01,0.72,0.89585,0.660351
0.56,22.4,-48.7,2.88,0.62,0.844616,0.602546
0.34,21.5,-48.5,2.13,0.6,0.658119,0.537765
0.41,20.9,-49,2.61,0.5,0.722698,0.462742
0.8,22,-49.7,3.3,0.87,1.009509,0.799165
0.49,22.2,-50.9,2.83,0.61,0.790066,0.513017
0.27,21.4,-50.7,1.96,0.45,0.586472,0.437969
0.36,20.7,-50.5,2.36,0.51,0.677199,0.462418
0.91,19.6,-50.7,3.6,0.85,1.076678,0.802764
0.79,20.5,-51.6,3.46,0.82,1.00318,0.698876
