Area_Axon,Area_Fiber,Centroid_X,Centroid_Y,Perimeter_Fiber,Perimeter_Axon,FiberDiameter_MinFeret,AxonDiameter_MinFeret,MyelinThickness_MinFeret,g_ratio_MinFeret,FiberDiameter_Circle,AxonDiameter_Circle,MyelinThickness_Circle,g_ratio_Circle,FiberDiameter_ShapeAdjustedEllipse,AxonDiameter_ShapeAdjustedEllipse,MyelinThickness_ShapeAdjustedEllipse,g_ratio_ShapeAdjustedEllipse
2.91,3.79,85.1,-17.5,10.96,8.24,2.44,1.63,0.405,0.668033,2.910556,1.925359,0.492599,0.661509,1.741353,0.964789,0.388282,0.554046
3.06,2.78,83.8,-21.9,13.62,10.84,2.7,1.86,0.42,0.688889,3.190352,1.974358,0.607997,0.618853,1.603655,0.738917,0.432369,0.46077
1.01,3.37,91.1,-23.1,8.17,5.6,1.68,0.89,0.395,0.529762,2.093362,1.134295,0.479534,0.541853,1.187753,0.23916,0.474297,0.201355
2.06,5.41,88.4,-23.2,9.01,6.49,2.18,1.16,0.51,0.53211,2.603281,1.619939,0.491671,0.622268,1.80071,0.885948,0.457381,0.491999
2.11,4.09,83.9,-25.3,8.95,6.33,1.96,1.22,0.37,0.622449,2.467625,1.639481,0.414072,0.664396,1.567837,0.472434,0.547701,0.301329
1.36,5.47,87.7,-25.7,7.33,5.33,1.76,1.08,0.34,0.613636,2.040981,1.316239,0.362371,0.644905,1.318745,0.354687,0.482029,0.268958
1.61,1.39,89.7,-25.3,7.4,5.06,1.96,1.34,0.31,0.683673,2.111539,1.432116,0.339712,0.678233,1.425808,0.476303,0.474752,0.334058
2.26,4.47,79.8,-27.2,8.56,6.65,1.87,1.26,0.305,0.673797,2.370197,1.696756,0.336721,0.715871,1.516848,0.95699,0.279929,0.630906
2.12,5.62,91,-27.5,8.49,6.02,2.25,1.46,0.395,0.648889,2.480497,1.643361,0.418568,0.662513,1.752901,0.513553,0.619674,0.292973
1.2,3.47,88.8,-27.9,7.27,5.34,1.5,0.92,0.29,0.613333,1.945107,1.236391,0.354358,0.635642,1.177309,0.306195,0.435557,0.26008
2.37,3.67,77.9,-29,8.13,5.83,2.19,1.47,0.36,0.671233,2.465042,1.737558,0.363742,0.70488,1.596726,0.642341,0.477193,0.402286
1.91,5.06,88.7,-30.6,9.55,6.33,2.23,1.38,0.425,0.618834,2.639726,1.559846,0.53994,0.590912,1.684346,0.419089,0.632629,0.248814
0.89,3.03,72.4,-29.6,7.21,5.06,1.28,0.58,0.35,0.453125,1.878473,1.064781,0.406846,0.566833,1.09207,0.234722,0.428674,0.214933
2.53,3.31,76.2,-30.9,11.25,8.33,1.94,1.08,0.43,0.556701,2.888589,1.795252,0.546669,0.621498,1.643852,0.814289,0.414782,0.495354
1.29,5.04,82.9,-31,7.02,5.1,1.59,1.1,0.245,0.691824,1.905406,1.281917,0.311744,0.672779,1.179855,0.353961,0.412947,0.300003
2.27,3.12,91.6,-31.4,8.71,6.84,2.22,1.59,0.315,0.716216,2.415449,1.700506,0.357472,0.704012,1.549869,0.924909,0.31248,0.596766
0.92,6.43,63.5,-31.8,6.64,4.58,1.28,0.63,0.325,0.492188,1.819918,1.082578,0.36867,0.59485,1.145,0.275307,0.434847,0.240443
2.96,5.23,86.8,-32.6,10.14,7.19,2.49,1.61,0.44,0.646586,2.886384,1.941829,0.472277,0.672755,1.940152,1.192824,0.373664,0.614809
0.64,2.63,80.9,-32.4,6.48,4.58,1.09,0.51,0.29,0.46789,1.666454,0.902932,0.381761,0.541828,0.950589,0.184594,0.382997,0.194189
1.68,4.17,74.8,-33.1,7.94,5.31,1.98,1.18,0.4,0.59596,2.3486,1.462917,0.442841,0.622889,1.616056,0.464182,0.575937,0.287232
1.01,0.95,92.6,-33.5,7.85,5.96,1.33,0.75,0.29,0.56391,1.961411,1.134295,0.413558,0.578305,1.074175,0.222808,0.425684,0.207422
0.74,5.69,80.3,-33.8,7.55,5.56,1.09,0.49,0.3,0.449541,1.858018,0.970915,0.443551,0.522554,0.996644,0.173439,0.411603,0.174023
1.63,8.02,67.5,-34.5,8.78,6.27,2.28,1.53,0.375,0.671053,2.34045,1.440983,0.449733,0.615686,1.40846,0.353515,0.527472,0.250994
0.9,1.62,81.6,-35.3,7.64,5.06,1.88,1.14,0.37,0.606383,1.941829,1.070746,0.435542,0.551411,1.089177,0.237598,0.42579,0.218145
0.84,3.13,72.9,-35.6,7.38,5.55,1.12,0.52,0.3,0.464286,1.833864,1.034439,0.399713,0.564076,0.996762,0.198519,0.399122,0.199163
1.48,2.51,93,-36.6,8.69,5.85,2.3,1.54,0.38,0.669565,2.3048,1.373081,0.46586,0.595748,1.376283,0.345999,0.515142,0.251401
1.92,2.8,66.2,-36.8,10.49,7.19,1.83,0.92,0.455,0.502732,2.792164,1.563925,0.61412,0.560112,1.676452,0.717275,0.479589,0.427853
2.16,5.04,91,-37.6,8.71,6.19,1.78,1.11,0.335,0.623596,2.457278,1.658792,0.399243,0.675053,1.624915,0.50326,0.560827,0.309715
1.57,6.02,88.2,-37.4,9.63,6.74,2.32,1.43,0.445,0.616379,2.508584,1.414214,0.547185,0.56375,1.457998,0.310655,0.573672,0.213069
1.06,3.19,57.6,-36.6,6.73,5.08,1.16,0.67,0.245,0.577586,1.791701,1.162032,0.314834,0.648564,1.076147,0.283431,0.396358,0.263376
1.93,4.48,60.9,-37.8,8.96,6.36,1.8,1,0.4,0.555556,2.457278,1.567992,0.444643,0.638101,1.547479,0.843167,0.352156,0.544865
1.76,3.6,72.6,-38.1,7.41,5.43,1.76,1.2,0.28,0.681818,2.138515,1.497344,0.320586,0.700179,1.475882,0.475831,0.500025,0.322405
2.08,2.69,82.4,-39.2,11.3,8.14,2.28,1.28,0.5,0.561404,2.947524,1.627784,0.65987,0.552255,1.716456,0.676527,0.519964,0.394142
1.28,2.32,73.5,-40,7.41,5.22,1.78,1.04,0.37,0.58427,2.084214,1.276939,0.403638,0.612672,1.370794,0.339728,0.515533,0.247833
0.62,12.37,69.9,-39.8,6.06,4.13,1.05,0.46,0.295,0.438095,1.639481,0.888712,0.375385,0.542069,0.504947,0.201197,0.151875,0.398452
0.99,4.93,76,-40.8,6.59,4.48,1.26,0.67,0.295,0.531746,1.816415,1.123008,0.346704,0.618255,1.153566,0.308926,0.42232,0.267801
0.68,5.39,67.3,-41.3,5.72,4.24,1.02,0.49,0.265,0.480392,1.567992,0.930721,0.318635,0.593575,0.493378,0.215807,0.138785,0.437407
1.09,4.11,74.8,-41.9,7.07,5.33,1.13,0.67,0.23,0.59292,1.812905,1.178361,0.317272,0.649985,1.029785,0.275566,0.37711,0.267595
0.63,1.9,69,-42,5.6,4.02,1.01,0.52,0.245,0.514851,1.493084,0.89585,0.298617,0.6,0.449432,0.211584,0.118924,0.470782
1.85,3.04,72.2,-42.6,8.94,7.01,2.09,1.59,0.25,0.760766,2.271395,1.535151,0.368122,0.675863,1.273327,0.709863,0.281732,0.557487
0.69,3.06,86.9,-43.3,6.37,5,0.95,0.47,0.24,0.494737,1.572049,0.93754,0.317255,0.596381,0.846511,0.181141,0.332685,0.213986
2.55,3.24,68.9,-43.8,12.63,9.34,2.08,1.07,0.505,0.514423,3.200318,1.802334,0.698992,0.563173,1.787226,0.719352,0.533937,0.402497
0.9,4.74,74.8,-43.6,7.31,4.75,1.26,0.53,0.365,0.420635,1.984013,1.070746,0.456633,0.539687,1.228415,0.256458,0.485978,0.208772
0.73,2.73,86.1,-46,5.26,3.75,1.25,0.78,0.235,0.624,1.4716,0.964332,0.253634,0.655295,0.47941,0.27507,0.10217,0.573767
1.8,3.1,74.7,-45.4,8.25,6.03,1.8,1.14,0.33,0.633333,2.293719,1.514263,0.389728,0.660178,1.478212,0.417548,0.530332,0.282468
0.13,1.5,69.7,-45.4,5.69,1.92,1.21,0.22,0.495,0.181818,1.670272,0.406946,0.631663,0.243641,0.596828,0.090626,0.253101,0.151846
1.42,2.48,64.2,-46.1,7.68,5.94,1.57,1.02,0.275,0.649682,2.009531,1.34496,0.332286,0.66929,1.175712,0.323881,0.425915,0.275477
0.93,3.03,79.9,-46.1,7.8,5.28,1.31,0.58,0.365,0.442748,2.065797,1.088445,0.488676,0.526889,1.230893,0.234222,0.498336,0.190286
0.37,4.55,82.4,-47,4.8,3.55,0.79,0.39,0.2,0.493671,1.189123,0.68654,0.251291,0.57735,0.321836,0.137366,0.092235,0.426819
0.65,3.3,81.6,-48.2,7.82,5.06,1.14,0.46,0.34,0.403509,1.908746,0.909959,0.499394,0.476731,1.012606,0.167869,0.422368,0.165779
0.69,6.43,78.8,-48.4,7.22,4.84,1.19,0.49,0.35,0.411765,1.885243,0.93754,0.473851,0.497305,1.0996,0.187875,0.455862,0.170858
0.92,1.83,60.5,-48.5,7.89,6.19,1.12,0.59,0.265,0.526786,1.851149,1.082578,0.384286,0.584814,0.932485,0.193696,0.369395,0.20772
1.4,1.96,71,-49.6,7.95,5.67,1.81,1.11,0.35,0.61326,2.156312,1.335455,0.410429,0.619324,1.333681,0.338024,0.497828,0.253452
1.09,3.05,65.3,-50.9,7.58,5.34,1.32,0.68,0.32,0.515152,1.98722,1.178361,0.40443,0.59297,1.166035,0.274938,0.445549,0.235788
1.77,2.23,67.4,-52.9,11.34,8.81,2.28,1.58,0.35,0.692982,2.533847,1.501592,0.516128,0.592613,1.200603,0.522791,0.338906,0.435441
1.2,4.17,57.1,-52.9,7.55,5.18,1.54,0.79,0.375,0.512987,2.03473,1.236391,0.39917,0.607644,1.245672,0.318408,0.463632,0.255611
2.07,3.03,59.6,-53.8,9.68,7.33,2.11,1.43,0.34,0.677725,2.439066,1.623867,0.4076,0.665774,1.35142,0.761467,0.294976,0.563457
1.23,4.55,65,-53.3,6.62,4.52,1.51,0.92,0.295,0.609272,1.945107,1.25175,0.346678,0.643538,1.358155,0.400695,0.47873,0.295029
1.99,3.09,71,-54.1,7.94,5.43,2.21,1.45,0.38,0.656109,2.335001,1.592178,0.371411,0.681875,1.627344,0.567579,0.529883,0.348776
