Aff_Tibial_axonDiam,Aff_Tibial_axonCount,Aff_Peroneal_axonDiam,Aff_Peroneal_axonCount,Aff_Sural_axonDiam,Aff_Sural_axonCount,Eff_Tibial_axonDiam,Eff_Tibial_axonCount,Eff_Peroneal_axonDiam,Eff_Peroneal_axonCount,Eff_Sural_axonDiam,Eff_Sural_axonCount,Aff_Cutaneous_axonDiam,Aff_Cutaneous_axonCount
0.1,0.69955381,0.1,1.928663633,0.1,0.282896248,0.1,0.677891934,0.1,0.217433688,0.1,0.790238511,0.1,0
0.125,2.978191849,0.125,1.493963468,0.125,0.385386686,0.125,0.678042798,0.125,0.285438645,0.125,0.790254343,0.125,0
0.15,1.097270759,0.15,2.843219132,0.15,0.297540569,0.15,0.676811769,0.15,0.215972918,0.15,0.788806158,0.15,0
0.175,4.044976628,0.175,0.169803434,0.175,7.860680724,0.175,0.631252086,0.175,0.179595483,0.175,0.708235896,0.175,0
0.2,2.227016665,0.2,0.719798315,0.2,0.740195074,0.2,0.882152877,0.2,0.442291864,0.2,1.061306509,0.2,0
0.225,5.745560163,0.225,6.557620598,0.225,10.6042824,0.225,17.58068403,0.225,13.23424438,0.225,9.611995074,0.225,0
0.25,8.603873757,0.25,5.702351786,0.25,7.104238412,0.25,18.88117345,0.25,14.06020934,0.25,10.39380037,0.25,0
0.275,15.72748682,0.275,4.897893485,0.275,5.948335243,0.275,18.08933014,0.275,13.97959585,0.275,10.20343157,0.275,1
0.3,26.34393652,0.3,4.381828638,0.3,6.797894718,0.3,18.03639854,0.3,13.24813974,0.3,10.20078225,0.3,1
0.325,31.64220148,0.325,8.349381374,0.325,7.279768062,0.325,18.04633666,0.325,6.07491257,0.325,10.2012195,0.325,3
0.35,35.29572625,0.35,12.65801046,0.35,10.44616583,0.35,18.04648777,0.35,13.41729735,0.35,10.20131904,0.35,3
0.375,48.23458615,0.375,16.54723576,0.375,19.62302481,0.375,18.04729118,0.375,13.32873023,0.375,10.20141112,0.375,7
0.4,63.64829119,0.4,19.48130621,0.4,28.34092739,0.4,18.03093358,0.4,6.857765856,0.4,10.20149876,0.4,12
0.425,73.99801221,0.425,22.36301049,0.425,30.61333733,0.425,18.10453077,0.425,3.851265566,0.425,10.20158147,0.425,12
0.45,91.79859997,0.45,28.04112974,0.45,46.00460242,0.45,21.2941002,0.45,20.69881728,0.45,10.2016506,0.45,8
0.475,113.2981674,0.475,37.38977129,0.475,63.85892642,0.475,18.18609287,0.475,15.21215478,0.475,10.2018291,0.475,20
0.5,126.2439315,0.5,47.76161279,0.5,77.75695808,0.5,17.65735062,0.5,16.12789796,0.5,10.20429987,0.5,28
0.525,145.153706,0.525,61.52047041,0.525,83.9434284,0.525,0.404419586,0.525,5.565062421,0.525,10.17914276,0.525,42
0.55,166.7022022,0.55,80.87449604,0.55,87.54532995,0.55,27.665858,0.55,4.923547013,0.55,10.28925767,0.55,49
0.575,188.4006543,0.575,91.89477903,0.575,106.3630309,0.575,31.05256325,0.575,15.76454464,0.575,9.953008358,0.575,70
0.6,215.2945017,0.6,95.00352874,0.6,131.3257535,0.6,42.16248431,0.6,42.35332109,0.6,7.981313427,0.6,84
0.625,228.3869897,0.625,111.1756765,0.625,151.7577348,0.625,59.39924541,0.625,47.62214573,0.625,10.74921508,0.625,112
0.65,238.6898389,0.65,130.3269549,0.65,160.5742473,0.65,78.74491052,0.65,35.89282181,0.65,2.971709124,0.65,111
0.675,258.9928125,0.675,137.5392937,0.675,172.3429584,0.675,82.95183472,0.675,31.42964661,0.675,14.03284869,0.675,105
0.7,266.8508513,0.7,139.8796588,0.7,170.1764076,0.7,111.2063102,0.7,36.49834359,0.7,30.14550495,0.7,134
0.725,264.2436891,0.725,143.0984555,0.725,151.3526907,0.725,154.9910133,0.725,51.35816207,0.725,69.02246836,0.725,137
0.75,274.0753871,0.75,135.8245702,0.75,159.5458362,0.75,150.7374865,0.75,68.17085789,0.75,82.42864255,0.75,119
0.775,282.6146463,0.775,138.1077968,0.775,148.6916071,0.775,117.8807719,0.775,70.08655782,0.775,76.89215072,0.775,121
0.8,276.9967885,0.8,145.5257087,0.8,142.0046617,0.8,127.3763267,0.8,69.12705605,0.8,80.12761596,0.8,108
0.825,262.5615146,0.825,127.4053695,0.825,130.0523302,0.825,178.2488317,0.825,84.22323149,0.825,83.42350958,0.825,101
0.85,236.9973004,0.85,107.6376651,0.85,117.7302894,0.85,198.1554849,0.85,101.1879461,0.85,77.27420453,0.85,76
0.875,218.5558565,0.875,102.9335616,0.875,98.07861705,0.875,175.2443383,0.875,102.6668009,0.875,100.4926411,0.875,79
0.9,216.7273767,0.9,93.00044098,0.9,68.6981665,0.9,151.1823148,0.9,87.89983284,0.9,105.249912,0.9,43
0.925,204.0401139,0.925,72.53048371,0.925,53.25520817,0.925,130.6608542,0.925,79.99514789,0.925,81.8956584,0.925,36
0.95,166.1252538,0.95,59.00806687,0.95,40.21881226,0.95,125.4290922,0.95,85.28329838,0.95,72.14887535,0.95,41
0.975,135.0392084,0.975,57.64022392,0.975,31.70951398,0.975,125.6508698,0.975,69.15685544,0.975,47.7532769,0.975,25
1,123.9428079,1,52.23871222,1,22.39768816,1,117.4196473,1,48.45383407,1,37.68166238,1,21
1.025,109.5640049,1.025,38.80802374,1.025,15.12256746,1.025,111.9114544,1.025,50.41914672,1.025,27.42310621,1.025,19
1.05,92.241678,1.05,26.88992659,1.05,14.13325036,1.05,101.3356109,1.05,40.80681589,1.05,12.73806918,1.05,8
